AMC,AMFICode,Scheme Name,Scheme Type,AMFI Scheme Category,Scheme NAV Name,Scheme Category,Sub Category,Fundtype,PlanType,ISIN Div Payout / ISIN Growth,ISIN Div Reinvestment,Launch Date,Closure Date,Scheme Minimum Amount,isPrimary
Baroda BNP Paribas Asset Management India Private Limited,151574,Baroda BNP Paribas NIFTY SDL December 2028 Index Fund,Open Ended,Other Scheme - Index Funds,Baroda BNP Paribas NIFTY SDL December 2028 Index Fund - Direct Plan - Growth Option,Other,Index Funds,DE,Direct,INF251K01RR7,,14-Mar-2023,,5000.0,Y
Baroda BNP Paribas Asset Management India Private Limited,151575,Baroda BNP Paribas NIFTY SDL December 2028 Index Fund,Open Ended,Other Scheme - Index Funds,Baroda BNP Paribas NIFTY SDL December 2028 Index Fund - Direct Plan - IDCW Option,Other,Index Funds,DE,Direct,INF251K01RS5,INF251K01RT3,14-Mar-2023,,5000.0,N
Baroda BNP Paribas Asset Management India Private Limited,151576,Baroda BNP Paribas NIFTY SDL December 2028 Index Fund,Open Ended,Other Scheme - Index Funds,Baroda BNP Paribas NIFTY SDL December 2028 Index Fund - Regular Plan - Growth Option,Other,Index Funds,DE,Regular,INF251K01RO4,,14-Mar-2023,,5000.0,Y
Aditya Birla Sun Life AMC Limited,151577,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund,Open Ended,Other Scheme - Index Funds,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund-Direct Growth,Other,Index Funds,DE,Direct,INF209KB11U2,,08-Mar-2023,,500.0,Y
Aditya Birla Sun Life AMC Limited,151582,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund,Open Ended,Other Scheme - Index Funds,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund-Regular IDCW,Other,Index Funds,DE,Regular,INF209KB10U4,,08-Mar-2023,,500.0,Y
Aditya Birla Sun Life AMC Limited,151583,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund,Open Ended,Other Scheme - Index Funds,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund-Regular Growth,Other,Index Funds,DE,Regular,INF209KB19T7,,08-Mar-2023,,500.0,Y
Aditya Birla Sun Life AMC Limited,151584,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund,Open Ended,Other Scheme - Index Funds,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund-Direct IDCW,Other,Index Funds,DE,Direct,INF209KB12U0,,08-Mar-2023,,500.0,N
ICICI Prudential Asset Management Company Limited,151578,ICICI Prudential Innovation Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI Prudential Innovation Fund - Direct Plan - IDCW,Equity,Sectoral/ Thematic,DE,Direct,INF109KC13T0,INF109KC14T8,10-Apr-2023,,5000.0,N
ICICI Prudential Asset Management Company Limited,151579,ICICI Prudential Innovation Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI Prudential Innovation Fund - Growth,Equity,Sectoral/ Thematic,DE,Regular,INF109KC19S9,,10-Apr-2023,,5000.0,Y
ICICI Prudential Asset Management Company Limited,151580,ICICI Prudential Innovation Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI Prudential Innovation Fund - Direct Plan - Growth,Equity,Sectoral/ Thematic,DE,Direct,INF109KC12T2,,10-Apr-2023,,5000.0,Y
ICICI Prudential Asset Management Company Limited,151581,ICICI Prudential Innovation Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI Prudential Innovation Fund - IDCW,Equity,Sectoral/ Thematic,DE,Regular,INF109KC10T6,INF109KC11T4,10-Apr-2023,,5000.0,N
